"device_id";"device_type";"manufacturer";"model";"country";"failure_event_count";"downtime";"maintenance_cost";"maintenance_frequency";"maintenance_class";"risk_score"
"MD00001";"CT Scanner";"MedEquip";"Model-650";"Italy";4;21.01;6409.08;3;3;47.42
"MD00003";"PET Scanner";"ImagingTech";"Model-400";"Canada";3;3.81;3683.28;5;1;22.49
"MD00006";"Infusion Pump";"CardioSync";"Model-200";"Canada";2;3.12;7872.61;1;2;20.99
"MD00007";"X-Ray Machine";"UltraMed";"Model-450";"Japan";1;3.59;4770.79;5;1;13.36
"MD00008";"MRI Scanner";"MedEquip";"Model-350";"UK";3;22.1;16751.79;1;3;53.85
"MD00009";"MRI Scanner";"RescueTech";"Model-500";"Italy";4;14.77;8474.91;3;2;43.24
"MD00010";"Defibrillator";"MedEquip";"Model-350";"France";3;17.9;20861.33;4;3;53.76
"MD00011";"Defibrillator";"RescueTech";"Model-450";"Japan";2;4.18;2038.15;3;1;16.22
"MD00013";"Defibrillator";"CardioSync";"Model-350";"USA";1;12.86;13381.11;5;2;31.24
"MD00015";"X-Ray Machine";"RescueTech";"Model-600";"UK";1;21.52;22117.05;5;3;48.64
"MD00016";"MRI Scanner";"CardioSync";"Model-200";"UK";0;23.39;9858.59;5;3;33.25
"MD00017";"CT Scanner";"RescueTech";"Model-650";"France";4;5.46;17914.21;3;3;43.37
"MD00019";"PET Scanner";"UltraMed";"Model-100";"Italy";1;2.56;6586.84;5;1;14.15
"MD00020";"X-Ray Machine";"CardioSync";"Model-100";"Canada";3;10.73;13582.95;4;2;39.31
"MD00021";"X-Ray Machine";"UltraMed";"Model-250";"France";2;8.26;1798.94;3;1;20.06
"MD00022";"Defibrillator";"ScanPro";"Model-150";"USA";4;2.11;13321.5;1;2;35.43
"MD00023";"MRI Scanner";"ScanPro";"Model-250";"Italy";1;3.06;10816.5;5;2;18.88
"MD00024";"PET Scanner";"MedEquip";"Model-150";"Canada";3;8.55;-4005.67;2;3;19.54
"MD00025";"Defibrillator";"CardioSync";"Model-350";"Japan";1;6.37;4265.28;5;2;15.64
"MD00026";"Infusion Pump";"MedEquip";"Model-450";"Italy";0;5.52;4482.22;5;1;10.0
"MD00027";"Infusion Pump";"ImagingTech";"Model-250";"Japan";4;2.28;2608.27;5;1;24.89
